localização;texto;qtd_emojis
Rio de Janeiro - Brasil;"@carlastrass E ONDE FICOU O EFEITO ESTUFA E O SUPERAQUECIMENTO GLOBAL, SERÁ QUE TRUMP CONSE";"0 -> "
Cuiabá, Brasil;"@gazetadopovo @mundo_gazeta Solução para o aquecimento global ninguém desmatar e poluir... A não, de acordo com o @realDonaldTrump aquecimento global não existe.";"0 -> "
;"gente o aquecimento global eh uma parada mt seria";"0 -> "
Brasil;"https://t.co/5HH9Lzyzpf "Aquecimento global pode ser muito pior do que o previsto"";"0 -> "
;"Desmatamento em alta pode minar chance de o Brasil cumprir meta ... - Sustentabilidade Estadão https://t.co/s49XmE5ekk";"0 -> "
Brazil;"Edital aberto para projetos contra à mudança climática https://t.co/z6DlN7hHNU";"0 -> "
Pasadena, CA;"@FePaesLeme Bela,maravilhosa,carismática e talentosa...não caia no papo furado dos pelegos de esquerda de aquecimento global e o termo intolerável"#Sustentabilidade"é tudo papo furado para manipular os ignorantes e ingênuos,idealizado pelo canalha Al Gore";"0 -> "
06/03 ?;"odeio mudança climatica repentina nao tenho saude pra isso";"0 -> "
São Paulo, Brasil;"@Estadao Ainda sustentam esse engodo de "aquecimento global"?";"0 -> "
P Sherman42 Wallaby Way Sydney;"Neo-liberalismo, monocultura, padronização O aquecimento global já não é ficção Movidos pelo lucro, a vaidade e o poder Homens mortos pelo ego antes de nascer Na nova era chega à terra a nova concepção Respiro fundo, fecho os olhos, em pé permaneço";"0 -> "
Brasília, Brasil;"@CBNoficial Aquecimento global pegando fogo.";"0 -> "
Rio de Janeiro, Brasil;"Depois de 478 dias de calor no inverno carioca, finalmente faz um friozinho. Já ansioso aqui pelo tuite do filho do Bolsonaro negando aquecimento global";"0 -> "
;"Alo aquecimento global";"0 -> "
;"Brasil corre risco de descumprir meta contra aquecimento global https://t.co/3ccYPYjpQE";"0 -> "
;"@Riyuuka_ aquecimento global que chama";"0 -> "
Maputo - Moçambique;"Aquecimento global pode ser muito pior do que o previsto https://t.co/Gp3PYJ3GIf";"0 -> "
Brasília - DF;"‘Barganhas políticas’ ameaçam metas para conter o aquecimento global https://t.co/MBlp36Fowg via @JornalOGlobo";"0 -> "
Casa do Caralho;"“Desde a mudança do Código Florestal há uma sinalização por parte do governo pró-desmatamento. É um aspecto simbólico, mas quem desmata hoje têm certeza que o governo está do lado deles” @estadao: https://t.co/5ckFKJAKut";"0 -> "
Tavira, Portugal;"o @marco_liveira é a principal causa do aquecimento global ce loko https://t.co/v7H5RXScT3";"0 -> "
Bruzundanga;"@pcfilho Aq. Global e efeito estufa são bastante corroborados cientificamente, o que não é é se a causa é antrópica, ou se CO2 é tão importante quanto reverberado pela mídia.";"0 -> "
Foz do Iguaçu, Brasil;"Essa mudança climática acaba comigo, e vem a gripe junto :c";"0 -> "
Niterói, RJ;"PEQUENA POLÍTICA AMEAÇA METAS CLIMÁTICAS BRASILEIRAS O conjunto de retrocessos ambientais perpetrado pelo congresso e... https://t.co/wJlpfZybOa";"0 -> "
;"@titifenycia Eu quero saber onde q ta este tal de aquecimento global";"0 -> "
Capital do Ceará - CE;"felipo gomes não acredita no aquecimento global";"0 -> "
