id;texto;remover 
1024786553946693632; "@RenovaMidia @CristhPeterson O nome dele é "Aquecimento Global" (????????? ????????)?"; 
1033813015462862848; "Bem vindo ao século XXI, onde existe um efeito estufa de ódio gratuito e um desmatamento de bondade, vivemos em um mundo onde não é só o planeta que precisa de salvação, mas sim a humanidade!!"; 
1025820975907172353; "Nestas alturas só me pergunto o que é que aquela malta que diz que o aquecimento global não existe diz para ela própria.. #viverdentrodeumforno"; 
1026280538892652545; "Ah vamos lá... me dê aquele sorriso ensolarado que não contribui com o aquecimento global."; 
1025754275765514241; "@fromgaliza E Trump dizendo que aquecimento global é fake news."; 
1027221896851611648; "Ontem pela primeira vez embarquei em um 428 com ar condicionado, certeza que essa última mudança climática foi devido a essa novidade."; 
1033002364083597312; "O mundinho das organizações liberais é terrível e formado por gente que não entende nada de liberalismo. Para essa turma, acreditar no aquecimento global e na democracia é anti-liberal. Já campanha para Bolsonaro ou apologia a torturadores e signatários do AI-5 é tranquilaço."; 
1030958189213347840; "Interrompe o aquecimento global adubando a terra com essas merda que tu fala, eu não"; 
1032986822962569216; "mano, ta td tão foda, o gelo mais espesso do Ártico se rompeu pela primeira vez, e os cara acreditavam que o lugar fosse ser o último a sucumbir ao aquecimento global porra"; 
1029534348750581760; "O capitalismo, não "a natureza humana", foi o que acabou com nosso impulso para enfrentar a mudança climática."; 
1033192228787765248; "@rafaelkjls A Indústria mundial inventa essa parada de aquecimento global e de substâncias que atingem a camada de ozônio só pra empurrar pra nós produtos mais caros e lucrar com isso!"; 
1031748647338237954; "Gostei de um vídeo @YouTube https://t.co/VsmtETO1xf da USP Revela A Farsa do Aquecimento Global no PROGRAMA DO JÔ!"; 
1026799827076763648; "@g1 Ué, mas o @realDonaldTrump disse que não existe aquecimento global... ?"; 
1025193591235403777; "Sábado vão estar 41º, não sei como é que vocês acham isso bom, aquecimento global é real!"; 
1025424648085942274; "o AqUeCiMeNtO gLoBaL nÃo É rEaL"; 
1025786741440106496; "@toxicvic1 @Dirtolfo @GoliASS_ @carmelocneto @scrapzAWGE Consenso vai haver mesmo com alguns discordando. É "consenso" na comunidade científica que aquecimento global existe, isso faz com que todos os cientistas aceitem essa teoria? Se sua concepção de vida for a de que todos concordem então consenso simplesmente não existe na ciência."; 
1029813387109253121; "amo biologia, mas to com preguiça de estudar pra prova de amanhã... no setor 241 vai cair anticoncepção e protozooses e no setor 242 cai efeito estufa e chuva ácida ?????"; 
1027148149121581057; "O mundo inteiro torrando no calor e aqui esse frio imenso, tá tudo errado, e ainda tem gente q ignora o aquecimento global e n adota as politicas de preservação do planeta"; 
1029855366388035584; "os calores loucos vieram para ficar e que impacto isso vai ter na nossa vida... onde estão agora os Negacionistas do Aquecimento Global? https://t.co/R37DbghN4Q"; 
1028638752615424000; "NYT: Nathaniel RICH sobre a mudança climática. A década na qual poderiamos ter parado as mudanças climáticas. Losing Earth: The Decade We Almost Stopped Climate Change https://t.co/frLC6OIdvY"; 
1026844172521807874; "O EMBUSTE DO AQUECIMENTO GLOBAL https://t.co/2T607sbugJ"; 
1029011044679790593; "Saúde dos corais ganhar uma mãozinha da ciência em parceria entre UFRJ - Universidade Federal do Rio de Janeiro e Aquário Marinho do Rio de Janeiro https://t.co/FDcUosQ2DD"; 
1025582754451337216; "Ondas de calor é consequência do aquecimento global, há gente que nao pensa nem quer pensar https://t.co/5JLKFUNTbs"; 
1031623841272012801; "Com sistema mais rentável, #melão amarelo brasileiro libera 50% menos gases de efeito estufa que o produzido no exterior https://t.co/nxZGRkraIl #NorteAgroTO #fruticultura #fruta #agricultura #agropecuária #agronegócio"; 
1026974537232130048; "Efeito estufa na Terra pode ficar irreversível, alertam cientistas - https://t.co/VN8XCmM6A2"; 
1028798414224535553; "Fantástico em nenhum momento associa aquecimento global ao gado. Incrível, a culpa é dos carros malvados e das chaminés. Maior parte desse buraco aí na camada de ozônio é CH4 e não Co2"; 
1029061424943951875; "Pesquisas apontam que: Umas das maiores causas do aquecimento global do mundo vem do Governo de Angola, abafam muitos casos. ???"; 
1031692180186951680; "@stigmali e do aquecimento global"; 
1029571292234698752; "CLIMA | O aquecimento global previsto em 14 de agosto de 1912 sob a mesma razão científica que sustenta a maciça pesquisa científica em 2018. https://t.co/YYgd9yk0w1"; 
1030212424429957121; "Climatologista fala ao blog sobre mentiras de “mudança climática” https://t.co/oyFqMcZ8C0 via @VEJA"; 
1034123690890420226; "aula de ciências, o tema é aquecimento global e a professora pede pra algum aluno falar alguma frase de esperança em relação a poluição e um aluno grita: A DILMA VAI MUDAR O MUNDO."; 
1029748246527307777; "Mudança climática está matando os cedros do Líbano @estadao: https://t.co/e3vfRWZ1Vo"; 
1026524992475947010; "ATENÇÃO PAULISTAS Candidato pelo PSL de Bolsonaro, Climatologista, Prof Dr da USP que luta contra a farsa do Aquecimento Global. https://t.co/8s2yJLueY3"; 
1024435495722471424; "Esse bloco de gelo só foi parar no litoral de SP graças ao aquecimento global. #OTempoNãoPara"; 
1032266328739069952; "Aquecimento Global: Proteger e regenerar florestas é crucial para limitar a mudança climática a 1,5°C https://t.co/KoCDOk5yOj https://t.co/L7LaRBQnpK"; 
1025562176633937920; "O aumento do aquecimento global preocupa me bue"; 
1025456264979996673; "Vários gases de efeito estufa são emitidos à medida que plásticos comuns se degradam no meio ambiente https://t.co/0AAmWhlGjK"; 
