id;texto;remover 
1029760588979871744; "Terra corre risco de entrar em efeito estufa irreversível, alertam cientistas https://t.co/pkT8jhpkcx https://t.co/oxlyLFFNix"; 
1030682304371482626; "? · Você acredita no aquecimento global? — Não https://t.co/sep4ghXRdB"; 
1025400213240991745; "e passar ao próximo como se a galáxia fosse nossa. Basicamente o que eu quero dizer é que somos merdas e espero que todos morram com este calor todo que fizeram por causa do aquecimento global ?"; 
1025714807914283009; "Faz-me confusão como é que há pessoas capazes de dizer que o aquecimento global e as alterações climáticas não existem, quando o óbvio está à vista"; 
1034125123958136833; "Outra falácia monstruosa: Aquecimento global. https://t.co/W2xueFckkq"; 
1030493181832581120; "@mindincrisis @cornholio_m @ProfRFelicio @Alan_Costa_19 @craudin_ @Olavinha88 @stravinsky100 @PomboCoco @RollerGear_Car @SubhieV @Pirulla25 corta os vídeos, refutei o aquecimento global!"; 
1030882025002205185; "Vc foi tão doutrinado que acredita em aquecimento global, derretimento das calotes polares, água vai acabar, Amazônia é o pulmão do mundo etc.. #CiteUmaTretaESaia"; 
1026841324274757632; ""aquecimento global é embuste sei que lá pois tá frio em curitiba" https://t.co/0z9lCLBul0"; 
1031625666943508480; "Beleza ou mata-boi, nomes populares de uma planta que tudo mostra ser capaz de conhecer um belo futuro na mudança climática que já começou. https://t.co/wp7YmKT4gx"; 
1025342528877408256; "Porcaria de aquecimento global"; 
1024965939547303936; "Olá aquecimento global"; 
1032616885848825856; "@Eraumavezumamo1 Aquecimento global não existe mesmo. Desde que o mundo no 1° semestre geleiras derretem no polo sul e congelam no polo norte, e no 2° semestre é ao contrário, mudanças das estações verão e inverno. Assista esta entrevista de especialista da USP ao Jô https://t.co/fzEQQmyxBE"; 
1024488407039324160; "Mudança climática aumenta risco de tempestades de fogo https://t.co/zKl3DIddyu"; 
1032621533028667392; "gente como é que funciona essa coisa de ser de direita vc compra pacotão antipetralha a e já vem com bonoro2018 professor olovo homeschooling escola s/ partido trump &lt;3 aquecimento global não existe globalismo george soros islamização da europa ??? ou tem como pedir à la carte?"; 
1031646658545811463; "@robindosertao Eu como biólogo vejo com muita preocupação esse foda-se amazônia que os governos de direita querem implementar. Mas o Agro no Brasil é acima de tudo homicida e suicida por tabela. Pra eles fodase o aquecimento global amanha o q importa eh q tenho meu ar condicionado hoje."; 
1031335536475209730; ""O aquecimento global é uma mentira." Sai da faculdade de geografia com isso marcado em meu coração. Muitos anos pra ver que eu estava errado. https://t.co/Kob3F74WWZ"; 
1027217289752588288; "Estou me sentindo efeito estufa"; 
1029728403858042881; "Coisas como: Os Judeus tramavam um plano para governar o mundo junto de maçons, oq aconteceu ? Holocausto. Movimentos como feminismo e LGBTQs são um plano para a legalização da pedofilia. Para caras como Trump e Putin: Aquecimento Global é invenção da esquerda.. tá bom"; 
1025098338335641602; "num futuro logo ali, onde países do mundo inteiro oferecem maravilhas da ciência, como tecnologia pra colonizar espaço, reverter aquecimento global, salvar o mar e edição genética em humanos, chega o brasil com um balaio de soja e uma caçamba de minério de ferro pra vender https://t.co/AFSchEJgNo"; 
1033043420091240448; "@Ideias_Radicais Aquecimento global. Eu acreditava muito nessa história, até que um dia eu estava conversando com o meu amigo sobre isso e eu fiquei com muita dúvida depois de ouvir os argumentos dele, então decidi pesquisar mais afundo e vi o quanto fazia sentido esse negócio ser uma farsa..."; 
1026148595035197441; "@Camiqueirozreal Esse onda de Calor q ta Europa,vai chegar aki no Brasil,qdo chegar a Primavera.a Humanidade ñ faz nada pra reverter o Aquecimento Global,botam a culpa no Governo,e acham q nós tbm ñ contribuimos com a destruição da Terra.Sozinho o Mundo ñ vai reverter isso."; 
1024579997183434752; "Petição pra mudar o termo Aquecimento Global para "Sou eu Bola de Fogo"."; 
1026786031478206465; "Na Suíça, jogam água fria nos rios para evitar que os peixes morram. Na França controlam até a velocidade dos carros com receio do calor. Em Portugal, incêndios. Nos oceanos, tubarões morrem. Mas o aquecimento global é balela..."; 
1031722384636747777; "Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Legalização do aborto, fim do aquecimento global e equilíbrio emocional. https://t.co/Zpt6E47HrC"; 
1030225550646943745; "@LeandroPuchalsk Aquecimento global!?"; 
1033065336889851904; "Coisas que me assustam: — A ocorrência de uma 3ª Guerra Mundial — Os efeitos do aquecimento global — Pessoas obcecadas por tirar selfies"; 
1029033645821054977; "eu amo essa mudança climática que acontece aqui quando tá perto de voltar a chover"; 
1031318659145326594; "Não tem como morar em pvh e acreditar que aquecimento global é teoria da conspiração. Eu moro nesse inferninho a vida inteira e eu tenho certeza que ta mais quente a cada dia que passa"; 
1024893070368821248; "como existe o aquecimento global se a terra é plana ?"; 
1024140964351422465; "" hj eu vou ficar tranquilão no baile " 03:00 dps toca mega MTG aquecimento global e eu to com: kkkkkkkkk https://t.co/etwe3WKJND"; 
1031043156962369536; "Terra plana, aquecimento global não existe, e agora vacina faz mal..."; 
1031933205333647361; "DO-U-SPO"; 
1025523530245570560; "@sofs8n @the_erebuss Por outro lado, o carvão que foi gasto para produzir a electricidade que tu gastaste a escrever aquele post idiótico contribuiu mais um pouco para o efeito estufa"; 
1031323307382005760; "Gostei de um vídeo do @YouTube https://t.co/AonyZgneE9 O Aquecimento Global é uma farsa? - E SE FOR VERDADE?"; 
1033347560470142977; "@Mattera8841 Pra mim só preserva as plantas mais regionais e amazonia, não sujar os rios, preservar o meio ambiente mas pode jogar co2 mesmo que aquecimento global não tem ação humana"; 
1025901627969028096; "@John___Dollar @LuizEduNeves @paduafernandes Fique com seus achismos, não existe aquecimento global, não existe el ninã, el ninõ, Só falta falar quê não existe poluição nos oceanos causado pelo homem"; 
1032633929407389696; ""A placa de gelo a norte da costa da Gronelândia, que era conhecida por se pensar ser um dos últimos redutos contra o aquecimento global, quebrou pela segunda vez este ano devido à onda de calor." https://t.co/X3fSL4J1Zn"; 
1031062281763909632; "#Ciência #Natureza #Ecología Solução para a mudança climática está na biodiversidade https://t.co/jg6KN9BKQP"; 
1026300386779394049; "E tem quem acredite nessa bobagem de aquecimento global ou de alteração do clima na terra... https://t.co/JmOqTOAi0w"; 
1025510185564090368; ""O dia depois de amanhã" em Filosofia Popular: Mudança climática em tempos de negacionismo.: https://t.co/XkP1sknsBO via @YouTube"; 
1025293887630438400; "aQUEcimEnTo GLObaL nÃo exISTe https://t.co/KWtHG16OzA"; 
1024761844664295427; "@MarceloM311 @MomentsBrasil @firstcletdown E também não percebem que o aquecimento global é necessário para o desenvolvimento de vida na terra."; 
1025366438306086912; "Desculpem as más línguas, mas inverno pra mim é o dia de hoje em São Paulo. O resto é aquecimento global"; 
1028975032238858240; "AQUECIMENTO GLOBAL - BRASIL: https://t.co/StVtJlnVjV"; 
1033080417887420421; "@ProfRFelicio Como essa falácia do aquecimento global ainda seduz os incautos. Parabéns por trazer à luz a verdade."; 
1032383180760727552; "As políticas públicas brasileiras resultaram na redução de 2,6 milhões de toneladas de emissões de gases de efeito estufa nos últimos dois anos https://t.co/fpBEgN4qTu"; 
1025891897116700672; "a minha casa inteira é um solário, @realDonaldTrump anda dizer-me na cara que aquecimento global não existe"; 
1025009764080738305; "@P22Ramalho Claro que é o aquecimento global! Entao mas tu vives num deserto para teres estas temperaturas? Nao obviamente que nao! Calor nao é o tempo como está. Não vou perder tempo a explicar te climatologia mas isto é simplesmente senso comum e se continua assim podes dizer olá à morte"; 
1032462710737444864; "Em tempos de aquecimento global, só penso em me refrescar. https://t.co/IDCeuvPvBh"; 
1029575044933005312; "@malupki Aumentou a concentração do remedio dai tá mais de boa mas com a mudança climática de sp pra Curitiba e esse cidade ter uma temperatura instável do caralho deu uma zoada e quando tava ficando melhor atacou a do leite eu vou cometer um crime"; 
1032960473174626306; "@antonioguterres @AnaGomesMEP Vai para o caralho mais o embuste do aquecimento Global ... https://t.co/6NVfLBCpH6"; 
1026806886375612416; "Marina Silva declara que não necessariamente é preciso reduzir o consumo de carne para preservar a floresta e mitigar as emissões de gases de efeito estufa https://t.co/dWUPOZ0mSK"; 
1029464625383989249; "@reishudgens @HinchaDoABC @g1 Só gado acredita em aquecimento global e mudanças climáticas"; 
1025531721104670720; "Aquecimento global que fala"; 
1029898679161839616; "Gostei de um vídeo @YouTube https://t.co/UraVxtYGj0 Antagonista entrevista Ricardo Felício – Íntegra: "Aquecimento global é"; 
1028066328740020224; "E é isto há anos anos e anos... 2010: #ONU recomenda #veganismo para combater as alterações climáticas/aquecimento global! mas nunca mais se convencem... e esquecem que NÃO HÁ #Planeta B! #naohaplanetaB #theresnoplanetB https://t.co/TmuN5obluN"; 
1026179186950590465; "@campos_agnaldo @JornalOGlobo Tem que ser muito burro pra achar que aquecimento global não existe. Volta pro ensino médio, anta"; 
1030556286675570689; "crenças que têm impactos negativos na sociedade: que vacina causa autismo, que homem é superior a mulher, que aquecimento global é mentira crenças que os paladinos da ciência lutam contra no twitter: astrologia"; 
1032326575725977601; "Mudança climática trará mais mortes por ondas de calor; Brasil preocupa https://t.co/yPau1hWQSF https://t.co/xWCuTOJaqI"; 
1030702900136366081; "@UNFCCC @AnaGomesMEP @EU_ScienceHub @EUClimateAction O EMBUSTE do AQUECIMENTO GLOBAL"; 
1026117039176511488; "Depois falam que aquecimento global não existe ????? https://t.co/sApx9g9Y64"; 
1028418577743994880; "@lucasalesp do quê você acha que é a culpa do aquecimento global? refutado ?"; 
1024122008081190913; "Aúnica maneira de provar que o aquecimento global é aumentado pelo homem é fazendo-o dimminuir. Pois se o planeta pode causá-lo sem o homem , introduzi-lo na equação fere o princípio da navalha de Ochan. Preserve o #Mundofeliz. Pense."; 
1030542853989126146; "@marlyrainha Se uma jumenta terrorista q queria estocar vento falou e se um analfabeto q disse q a terra fosse quadrada não teria efeito estufa também falou."; 
1032924634419736577; "@Sailorliviallff Acho que o aquecimento global é de longe o meu favorito."; 
