id;texto;remover 
1023961330930397184; "a mudança climática me fez ficar mal e agr to tomando mil copos d’água pra ver se volto a ficar hidratado nesse clima seco nojento"; 
1031519790060527616; "@catarina_mart Bom dia. O aquecimento global está a transformar as terras da Sibéria em terras aráveis. Prevê se que em 2035 a Rússia domine o mercado de comida global."; 
1028009408989749248; "QUERIA TA JOGANDO UM BASK MAS NAOOO TO VENDO FILME SOBRE AQUECIMENTO GLOBAL"; 
1025215017774460928; "@realDonaldTrump sim o aquecimento global é uma mentira"; 
1025070891657519105; "@vvicentiti é só colocar um coletor de metano nos bovinos que ta suave o aquecimento global"; 
1024833693544853504; "@starkstoned @HistoriaNoPaint A ONU já declarou que a agricultura animal não só tem imenso papel no aquecimento global,como também é a maior causa de consumo de recursos e degradação ambiental que destrói o Planeta hoje em dia."; 
1024440228197613568; "Kizomba é uma das causas do aquecimento global"; 
1028798509015810051; "Ué não era o Trump que falou que aquecimento global não existia ? E esse calor insuportável no hemisfério norte, é o que ?"; 
1025137486010478593; "Plástico também emite gases do efeito estufa enquanto se decompõe, diz pesquisa https://t.co/e4hruldijL"; 
1029723062378393600; "eu tenho profundo ódio de quem fala q o planeta não tá poluído, que aquecimento global é mentira e que é tudo invenção pra gente não enriquecer industrializando A GENTE TINHA É Q MORAR NO MATO E CADA UM TER SEU TERRENO PRA SUBSISTÊNCIA AI VCS IAM VALORIZAR O PLANETA"; 
1024136694629650432; "Fale de assuntos banais, o que comeu hj, efeito estufa, manda meme, manda audio cantando rapa, deixa pra ser frio quando morrer, mostre interesse"; 
1026788838805405696; "Alerta! Efeito estufa pode chegar a estágio irreversível https://t.co/TvpyUTlAoS https://t.co/jifnTsgBoe"; 
1029014546776825856; "Mudança climática antropocêntrica tá pra direita retardada assim como OGM tá pra esquerda"; 
1030050327322611712; "Pesquisadores comprovam: exagero de sardinha contribui com o efeito estufa."; 
1032267762058649601; "@ChapielBolao Queeeeeeee Não tô acreditando que estão colocando isso como se fosse a polêmica de aquecimento global existir ou não. Que curso tu faz??"; 
1025864405530148864; "@Gegel_Shinobi @LuizEduNeves @paduafernandes Para quem acredita em aquecimento global, não tendo nenhuma base cientifica provando que é causado pela ação humana, acho que este argumento é mais que suficiente."; 
1027946065516023814; "Esse povo é engraçado, acham que a mudança climática trará catástrofes. Tudo na mente desses doentes é catástrofe, parece que não falam outra coisa. https://t.co/gh9CacuZFR"; 
1026127867808280576; "Essa vai pro Trump que não acredita em aquecimento global @realDonaldTrump TÁ FELIZ?? OS PINGUINZINHOS ESTÃO MORRENDO https://t.co/QlKsS49niu"; 
1025331875445911557; "Cadáveres desaparecidos durante décadas sob geleiras suíças emergem com aquecimento global https://t.co/oaYUUbT90q"; 
1026555933659422720; "Algumas origens do aquecimento global. https://t.co/N0F7SCKuJN"; 
1023904842920742914; "Agr aparecem os burros a dizer que aquecimento global só provoca aumento de temperatura kkkk"; 
1026921160171241473; "embuste do aquecimento global https://t.co/72xr7R20tn"; 
1025613879618011136; "Aquecimento global é true shit manos, olhem só pra esta merda, estou a morrer de calor quase às 7 da manhã"; 
1025249813514911744; "tô com medo real do aquecimento global, cacete"; 
1032326612132474881; "Mudança climática trará mais mortes por ondas de calor; Brasil preocupa https://t.co/yPau1hWQSF https://t.co/tnlB6dSsRo"; 
1027335259942207493; "Terra corre risco de ter ‘efeito estufa’ irreversível"; 
1025552835910488064; "Aquecimento global paraaaaaa"; 
1033035377907511297; "#Ciência #Natureza #Ecología FOURIER: UM PRECURSOR DOS ESTUDOS DO AQUECIMENTO GLOBAL https://t.co/ZzDtf6VYwN https://t.co/oVksBBaRfG"; 
1026908393834008576; "A geoengenharia pode destruir a todos nós: Cientistas histéricos por mudança climática tentam reduzir o sol através da poluição atmosférica "planejada" Sendo assim, matará milhões por deficiência da vitamina D tamo lascado! https://t.co/dQhwQS9YDo"; 
1029365340004859908; "Opiniões baseadas em memes não te capacitam a construir um motor de helicóptero, muito menos a afirmar que dinossauros conviveram com humanos ou a dizer que aquecimento global é conspiração da mídia. A ignorância e a desonestidade trouxeram de volta o sarampo e a poliomielite. https://t.co/EUMKqByDTd"; 
1030518571288416256; "@CdNLeon Do aquecimento global inventado pela China pra frear a economia americana."; 
1025471752305082368; "não sei como há quem ainda diga que o aquecimento global não é verdade"; 
1025030913464434689; "O childish é mesmo fora de série. Vejam a letra da feels like summer, como é que uma música com uma vibe tão chill tem uma mensagem tão forte sobre o aquecimento global"; 
1031899836239364097; "@edmilsonpapo10 Não vou queimar nenhum, n qro contribuir c o aquecimento global ?! Tô usando as páginas como banheiro pra o meu gato ????"; 
1025497644410593281; "essa eleição vai ser mt fodida um presidiário como candidato o bolsonaro como candidato o alckmin se fortalecendo com as coligações e prometendo cortar a pós graduação gratuita a marina falando de aquecimento global a manuela com 35 anos forçando na lacração eu só sinto vergonha"; 
1025432200563617792; "Está mas é a dar nos uma demonstração de como vai ser daqui a alguns anos se a população não mudar habitos e deixar o aquecimento global desenvolver se a esta velocidade https://t.co/TtLlKwuTK8"; 
1027943312962080769; "Jornalista americana Glória Steinem, símbolo forte do ativismo feminista, diz que a mudança climática poderia ser evitada abortando-se filhos indesejáveis. WTF? ? https://t.co/iRMG5K8rUk"; 
1025896102028095488; "@VoceNaoSabiaQ “Aquecimento global, nem vou sofrer as consequências disso agora deixa me lá fumar o nite.” Porque este calor é normal"; 
1025025175547531264; "Novo estudo mostra que material libera metano e etileno na atmosfera, gases que provocam o efeito estufa. https://t.co/N0JsidBpFe"; 
1032365456542203904; "Brasil deve reduzir emissão de gases antes do previsto, diz ministro https://t.co/VIV8BATavJ via @agenciabrasil"; 
1028989494408740865; "@LucianoFalante acho q seria bom vc explicar o que é o efeito estufa sim, Eloy. a gente acabou de acordar de um sono de 100 anos"; 
1033454524525096960; "A pessoa de direita que não acredita em aquecimento global - quem está surpreso?"; 
1029112638264041474; "fico muito triste vendo reportagens sobre a destruição do planeta. aquecimento global, as queimas, descongelamentos e essas coisas me assustam muito, alem de me dar um aperto no coração"; 
1026841776068411395; "@Zanfa Porra, o cara reclama da esquerda acusar a direita de obscurantista e no mesmo tweet chama aquecimento global de embuste, é de fuder mesmo!!"; 
1031429148663664640; "Aquecimento global na Rússia mais intenso que a média no mundo https://t.co/032ieObRoZ https://t.co/ALwDZqWr0q"; 
1024714059676049409; "@sophiaqualquer Óptima altura do ano para visitar o glaciar da Amareleja. O a zona onde ele esteve, culpa do aquecimento global."; 
1025044271034978309; "Gostei de um vídeo @YouTube https://t.co/eXI8C6CCK0 de CO2 na Atmosfera e Aquecimento Global #OtarioNews"; 
1034025064134533128; "@CaioCezarO Graças ao aquecimento global."; 
1033708694784159744; "Ainnnn Mas aquecimento global é coisa esquerdista https://t.co/olrGPNnQbf"; 
1027943597918904321; "@izzynobre aquecimento global"; 
1032787270313684992; "@Sailorliviallff comunismo aquecimento global feminismo maquinas roubam empregos jesus é esquerdista pt tirou milhões da pobreza lula é honesto bolsa família não é compra de voto aborto não é assassinato drogas libertam esquerda lutou contra a ditadura pela democracia o homem não chegou a lua"; 
1025939465355882496; "gente aquecimento global é uma mentira do PT tô deitado aqui com três edredons"; 
1026562968413188096; "Brasil aparece como o terceiro mais impactado em estudo que projetou números futuros de vítimas de problemas de saúde decorrentes de altas temperaturas até 2080. https://t.co/bEcmx9O7og #AquecimentoGlobal #MudançasClimáticas"; 
1028134069802913792; "Gostei de um vídeo @YouTube https://t.co/WuOik2HO07 da USP Revela A Farsa do Aquecimento Global no PROGRAMA DO JÔ!"; 
1025437329220087808; "Aquecimento global aí seus troxa, n disseram que era lenda? https://t.co/aBIdZIHF2w"; 
1031163887683596289; "Aquecimento global na Rússia é 2,5 vezes mais intenso que a média no mundo https://t.co/xkcNIqgQlG @UOL"; 
1032622550839308289; "Se o clima está a mudar, também nós podemos mudar e fazer muito contra a alteração climática. Acreditas que é possível? A @IzaspPereira participou no @MeetingRimini na Itália falou sobre #TimorLeste apresentou projetos financiados pela @europeaid em prol das comunidades rurais. https://t.co/ZaMA8chWu3"; 
1024331877195411456; "hoje no radinho: amazon x fake reviews, robô sonha? Japão x robôs, ar condicionado x aquecimento global, Marte #sqn - radinho de pilha https://t.co/ESFxJQR0i0 https://t.co/dUSFlKXiv7"; 
1025799785402564608; "Aquecimento global?! Naaaah"; 
1026580710960914434; "#Sementes: O principio da Gastronomia. Pequenas bolas de sementes do Quênia estão facilitando o reflorestamento Com o advento da mudança climática, o reflorestamento está entre as principais soluções que estão... https://t.co/4R2WKhlqkq"; 
1030929301925974016; "@MoreiraFranco https://t.co/pa2D28wsHw A convenção quadro sobre mudanças do clima. O Brasil é signatário com o objetivo de estabilizar concentrações de gases de efeito estufa na atmosfera em nível que impeça uma interferência antrópica perigosa no sistema climático."; 
1028742950728155137; "Terra pode entrar em ‘estado estufa‘ permanente, alertam cientistas https://t.co/nlddsUJkDg"; 
1029215354776707073; "Não tô mais sabendo lidar com essa mudança climática aqui em Itumbiara"; 
1029772035021590529; "O que vocês pensam sobre o aquecimento global?"; 
1025462099395465216; "o ótimo medieval contou com temperaturas mais altas do que as de atualmente as térmitas emitem 400x mais co2 que o Homem "cientistas" ganham dinheiro com a farsa do aquecimento global estudem e informem-se, não acreditem em tudo que lêem nos media"; 
1025373214623637506; "@MetroclimaPOA E há quem rejeite ter havido mudanças climáticas provocadas pelo aquecimento global!!!"; 
1032270043181182976; "Estudo comprova: em excesso, fritura não contribui com o efeito estufa."; 
1024033909447770112; "@airessousa83 @antonio_franco_ @one_josecarvalh @expresso @SLBenfica @SIConline @SICNoticias Trumpistas? Tenho consciência que o aquecimento global é uma realidade, já vós tendes a casa a arder e apontais a vossa preocupação para outros lados. Realmente sois engraçados."; 
1028799288296366080; "sinto informar mas sim o aquecimento global ainda vai matar muita gente"; 
1032885549206523904; "Novo estudo conclui que os processos que estão ocorrendo no Ártico podem acelerar o aquecimento global e resultar em consequências dramáticas para toda a humanidade. https://t.co/r6j2w9dKxS https://t.co/ImPxclzXFW"; 
1025477664801521664; "yaa até parece que a culpa é do aquecimento global ???? https://t.co/Mp9AnIZlj8"; 
1025899269260292096; "Não existe sítios frios no mundo com este aquecimento global — Ik that https://t.co/fLFkMQE3bu"; 
1029171840013492229; "“Aquecimento global é lenda”. Pois é... https://t.co/omIEniMeE9"; 
1028501349774909440; "Certas pessoas me fazem torcer pro aquecimento global acelerar."; 
1029092582876504064; "semana passada congelei essa eu derreto pra mim já chega aquecimento global"; 
1031907837377761281; "Um dos efeitos do aquecimento global https://t.co/T8otyXnHn4"; 
1032636206595506176; "Ondas de calor recorde e incêndios florestais maciços estão soando alarme -Natureza e a humanidade enfrentam uma crise existencial. Para evitar a crescente crise ecológica e adaptar-se às consequências da mudança climática, a civilização está sendo urgentemente chamada a agir. https://t.co/NUltjTmBj5"; 
1030082764870242304; "Na hora de levantar estava gelado tudo frio E eu esperando o aquecimento global tão prometido CADE A PORRA DO MEU AQUECIMENTO GLOBAL"; 
1033388414731780097; "clima nublado em goiania em pleno agosto! que loucura! depois dizem q o aquecimento global eh mentira"; 
1032764692903723008; "O aquecimento global não existe. https://t.co/LkXRaIZpf4"; 
1030472749834223616; "@LulaOficial Urgente ?????? a decisão do CDH da ONU é tão relevante quanto a minha opinião sobre aquecimento global. Vai pro banho de sol que você ganha mais. Esqueci, aqui em Curitiba não tem sol e tá um frio do djanho"; 
1026209290762289153; "Migos que não acreditavam no aquecimento global, where are u now?"; 
1032726919501021184; "aquecimento global? sorry don’t know her https://t.co/HDV70p7HPV"; 
1024617779171917824; "Mudança climática aumenta risco de tempestades de fogo https://t.co/O6iru3eLu2"; 
1024429025861804032; "@LuizCastrizana @Astro_Pontes @marinadolacre O cara apóia um criacionista q nem em aquecimento global deve acreditar e manda os outros pensarem ??? Muita petulância"; 
1025879389089812481; "@AutismoOver9000 Agora eles até tiveram que instalar essas cenas para refrescar porque aquecimento global e ondas de calor..."; 
1034073757483069440; "Mudança climática afeta superfície dos Alpes franceses - https://t.co/xcUyLyLlUr"; 
1029731902163484674; "Vir para o twitter falar de aquecimento global é que bate https://t.co/ey8C2qZMIv"; 
1028798516552982528; "Esse pessoal não desiste do aquecimento global causado pelo homem."; 
1032348180053209089; "@ArturVinhaSoare nao amigo eh apenas um comparativo q explicita o quao ridículo é um prof de biologia que acha q não existe aquecimento global"; 
1026931373477699585; "@ImDgirl93 KKJKKKKKJKJ aquecimento global"; 
1025445506573643776; "Minha pesquisa descreve o paleoclima terrestre através de fósseis vegetais e algas calcárias para comparação com o clima atual e quantificação da interferência humana no clima (aquecimento global). #existepesquisanobr"; 
1025003657132212231; "Ou 8 ou 80, raios partam o aquecimento global??????"; 
1025782992453681153; "Olá, vamos todos morrer com o aquecimento global. Adeus. Obrigado"; 
1030727617840930818; "@barbaraescreve Se chama aquecimento global"; 
1025058470075265024; "não sei se fico feliz por ter chuva e não um calor infernal em agosto em São Luís ou preocupado por isso ser uma alteração climática bizarra"; 
1030073885935394816; "Aquecimento global deve piorar até 2022 https://t.co/jLrUzh0axj #destaque #noticias"; 
1032374557317812225; "@PeterDracarys @PedroPaiva1977 @aquelequecoiso @TheRealJuliaMNG @TheTweetOfGod Epa este gajo é perigoso porque é proteccionista, aquecimento global esquece, mente com todos os dentes que tem e podia ficar aqui a noite toda. A outra nem que seja pelo marido já tem mais controle."; 
1025068297203732484; "tipo eu tou de tshirt e nem tenho calor isso do aquecimento global é mm mentira"; 
1025209896529276929; "Qual a opinião do Bolsonaro sobre "efeito estufa" ?"; 
1032068963784683520; "@debofischer o aquecimento global eh real nunca se sabe"; 
1026449635110531072; "ah não porque o aquecimento global não existe https://t.co/9OPFPBhhH9"; 
1025221656783015936; "Irretocável. Surra de dados. (embora repetindo a narrativa da crise hídrica). E falou de mudança climática! https://t.co/9lx9mD8waw"; 
1034048798228656128; "Tá tendo apresentações de seminário aqui e o professor falou q tá todo mundo seguindo vertente do aquecimento global. Aí ele falou q a gente tem q questionar isso, buscar outra visão. Gostei, é isso aí cara temos que contestar as coisas"; 
1029114033595736064; "Olhem pra esse céu gente. Isso que se chama aquecimento global. Nunca vi tantas nuvens no mês de agosto"; 
1025892988151648256; "Não tem a ver com aquecimento global, tem a ver com vagas de calor que vêm do Sahara, tem descido toda a europa, o aquecimento global tem sim a ver com a descaracterização das estações do ano https://t.co/VGlgIUtTRl"; 
1026609018368876546; "partiu ir pra algum lugar nevando pra refutar o aquecimento global"; 
1030464402938572800; "O que significa mudança climática para o Bloody Mary? https://t.co/FEm4n5dCoh https://t.co/JpMTuLhw2n"; 
1029085081787293697; "Gostei de um vídeo @YouTube https://t.co/cnhswYXNhZ Antagonista entrevista Ricardo Felício – Íntegra: "Aquecimento global é"; 
1028046336736813064; "@LeilaneNeubarth no RS nevando.. é o aquecimento global né kkkkk"; 
1028169159170043904; "Brasil está preparado para reduzir gases que impulsionam aquecimento global, diz especialista https://t.co/GJCpq9MeMH"; 
